"Nome","Endereço","Endereço.2"
"Cantina","R. Visc. de Parnaíba, 1316, 03164-300  Brás, São Paulo - SP, (11) 2692-1866www.cantinasp.com.br","O Cantina é uma cafeteria construída dentro do Museu da Imigração em São Paulo. Serve cafés especiais, bolos e pães feitos na casa e tambêm Brunch aos finais de semana e feriados. Tudo sob os cuidados dos chefs Fellipe Zanuto e Lucas Dante."
"Cha Cha","R. Bela Cintra, 1425 - Jardins, Telefone: (11) 3064-3718 / R. Lopes Neto, 340 - Itaim Bibi, Telefone: (11) 2640-4004www.chacharestaurante.com.br"," "
"Kez Bagel & Café","R. dos Pinheiros, 725, 05422-011 Pinheiros, São Paulo - SP, (11) 2589-3198www.kezbagel.com.br","A Kez Bagel & Café abriu suas portas na Rua dos Pinheiros em 2017 com a proposta evidenciar a culinária judaica tendo o bagel como protagonista. A casa conta com uma padaria própria que oferece uma ótima variedade de pães, especialmente os tradicionais judaicos, um menu executivo para o almoço e, aos finais de semana, um delicioso brunch – tudo isso regado a cafés especiais."
"Kofi & Co.","Rua Alexandre Dumas, 1518, 04717-003 Santo Amaro, São Paulo - SP, (11) 3624-4838www.kofiandco.com.br","Venha viver uma experiência sensorial com cafés artesanais, chás especiais, vinhos, cervejas e cachaças artesanais. Nosso cardápio de comida contemporânea foi carinhosamente elaborado para atender paladares variados. Ponto de encontro de apreciadores de cafés, o Kofi & Co tem uma arquitetura industrial e descolada. Ainda conta com uma extensa biblioteca repleta de livros sobre cafés, chás, vinhos, cervejas, cachaças e gastronomia que fica a disposição dos clientes. Temos um ambiente acolhedor para você viver bons momentos. Divirta-se!"
"Lá da Venda","Rua Harmonia, 161, Vila Madalena, Telefone: (11) 3037 7702 / Lá da Vendinha, Rua Lopes Chaves, 402 A, Barra Funda, Telefone: (11) 3868-1407 / Lá da Venda - JK Iguatemi, Av. Pres. Juscelino Kubitschek, 2041 - Vila Olimpia, Telefone: (11) 3152-6780www.ladavenda.com.br"," "
"Las Chicas","Rua Oscar Freire, 1607 - Pinheiros, 05409-010 São Paulo, Telefone: (11) 3063-0533www.laschicas.net.br","Ambiente aconchegante que traz comida simples e sem frescura, mas difícil de ser encontrada em outros lugares. Cozinha multicultural, com influências americanas, brasileiras, italianas, francesas, marroquinas e até portenhas."
"Le Botteghe di Leonardo","JARDINS: Rua Oscar Freire, 42, Telefone: (11) 2528-2000 / HIGIENOPOLIS: Rua Armando Penteado, 56 ITAIM BIBI: Rua Bandeira Paulista, 387 ALPHAVILLE: Shopping Iguatemiwww.lebotteghedileonardo.com.br","Receitas exclusivas italianas, gelatos saborosos, naturais, com rigorosa escolha de ingredientes, total atenção à saúde, utilizando produtos sem gorduras vegetais, conservantes ou monoglicerídeos. O rigoroso processo artesanal segue três preceitos: paixão, qualidade e excelência. Única loja no Brasil, em São Paulo, seis lojas na Itália e duas na China, em Beijing.   "
"Officina","Praça Sir Willian Crookes, 18, 04567-110 Brooklin Novo, São Paulo - SP, (11) 5102-4811www.facebook.com/OfficinaMarket","Um empreendimento onde a arte da massa encontra gastronomia, criatividade e praticidade. Tudo é feito artesanalmente e à mão. Com três seleções de serviços, a Officina serve o pão artesanal, a massa pra levar para casa ou comer ali mesmo num ambiente moderno e rústico, e a verdadeira 'Pizza Napoletana'."
"Padaria da Esquina","Alameda Campinas, 1630, 01404-002 Jardim Paulista, São Paulo - SP, (11) 2387-0149www.padariadaesquina.com","A Padaria da Esquina é a mais recente página na história do Grupo da Esquina do Chef Vitor Sobral e do restaurateur Edrey Momo. Lá você pode encontrar pães de fermentação natural e doces típicos da terrinha. Inaugurada em 2016, é eleita a Melhor Padaria de São Paulo por toda a mídia especializada."
"Terraço Jardins Renaissance","Alameda Santos, 2233, 01419-002 Jardins, São Paulo - SP, (11) 3069-2233www.marriott.com/hotels/hotel-information/restaurant/saobr-renaissance-sao-paulo-hotel/","Descubra os sabores Brasileiros e viaje o Brasil inteiro em um menu completo! Explore a criativa gastronomia local com um menu elaborado pelos chefs do Renaissance e inspire-se nas raízes da gastronomia Paulista: Nosso menu é inspirado nas origens da gastronomia Paulistana, com influências caiçara e caipira, explorando os ingredientes locais mais frescos, de pequenos produtores do estado de São Paulo."
"Astor","www.barastor.com.br","VILA MADALENA: Rua Delfina, 163 - Vila Madalena, São Paulo SP 05443-010, (11) 3815-1364 / SHOPPING JK: Av Juscelino Kubitschek, 2041 Piso térreo - Vila Olímpia, São Paulo SP - Tel.: (11) 3152-6057"
"Bráz Elettrica","PINHEIROS: R. dos Pinheiros, 220, Telefone: (11) 3061-5132 / JARDINS: Alameda Campinas, 1.289, Telefone: (11) 3051-6136 / HIGIENOPOLIS: Shopping Pátio Higienópolis, Av. Higienópolis, 618 - Terraço, Telefone: (11) 3823-2655 / AUGUSTA: R. Antônio Carlos, 328, Telefone: (11) 3171-3947www.brazelettrica.com"," "
"Bráz Pizzaria","HIGIENOPOLIS: Rua Sergipe, 406 - Tel.: (11) 3214-3337 / MOEMA: R. Graúna, 125 - Tel.: (11) 5561-1736 / PINHEIROS: R. Vupabussu, 271 / Tel.: (11) 3037-7975 / PERDIZES: R. Piracuama, 155 - Tel.: (11) 2366-9894 / TATUAPÉ: Rua Apucarana, 1572 - Tel.: (11) 2676-2457 / VILA MARIANA: R. Gandavo, 447 - Tel.: (11) 5082-3800www.brazpizzaria.com.br"," "
"Bráz Trattoria","Shopping Cidade Jardim 4º piso Av. Magalhães de Castro, 12000 - Morumbi, 05502-001 São Paulo, (11) 3198-9435www.braztrattoria.com.br","A Bráz Trattoria traz uma irresistível viagem pelos clássicos da cozinha simples da Itália, suas osterias e trattorias, renovados com talento e bossa. Num só lugar e a qualquer hora, é possível se ter uma experiência com todos os mais adorados e populares capítulos da cozinha “casalinga” italiana, dos antepastos às pizzas, dos pães artesanais às massas e carnes."
"ICI Brasserie ","www.icibrasserie.com.br","JARDINS: Rua Bela Cintra, 2203, São Paulo - SP, 01415002 - Tel.: (11) 2883-5063 / SHOPPING JK IGUATEMI: Av. Juscelino Kubitschek, 2041 Piso 3 - Tel.: (11) 3078.1313 /  SHOPPING MARKET PLACE: Av. Doutor Chucri Zaidan, loja 106 – Piso Térreo - Tel.: (11) 5181.5561 / SHOPPING VILLA LOBOS: Avenida das Nações Unidas, 4777, piso 3 - Tel.: (11) 3024.3930"
"Lanchonete da Cidade","JARDINS: Alameda Tietê, 110 - Tel.: (11) 3086-3399 / SHOPPING CIDADE JARDIM: Av. Magalhães de Castro, 12.000, Piso 1 - Tel.: (11) 3198-9301 / MOEMA: Av. Macuco, 355 - Tel.: (11) 3569-8252 / SHOPPING HIEGIENOPOLIS: Av. Higienópolis, 674, Piso Veiga Filho - Tel.: (11) 3823-2642 / PINHEIROS: Rua Coropés, 51, Tel.: (11) 3819-0229www.lanchonetedacidade.com.br"," "
"Câmara Fria ","R. Graúna, 137, 04514-000 Moema, São Paulo - SP, (11) 5093-9486www.facebook.com/barcamarafria","Chopps frescos e especiais, mas acessíveis e fáceis de beber, uma pizza irresistível e outras comidinhas pra comer com a mão, uma atmosfera transada e cosmopolita. Um bar surpreendente de chopp e cervejas especiais, com o capricho e a simplicidade do Bar Original."
"Original","R. Graúna, 137, 04514-000 Moema, São Paulo - SP, (11) 5093-9486www.baroriginal.com.br","Um garçom que me chama pelo nome, um petisco cheio de sabor, o chopp tradicional, sempre impecável. O Original é o botequim de confiança, aquele onde nos sentimos em casa, mas onde também nos surpreendemos a cada visita pelas demonstrações de carinho e atenção ao detalhe."
"Pirajá","PINHEIROS: Av. Brg. Faria Lima, 64 - Tel.: (11) 3815-6881 / JARDINS: Alameda Santos, 1737 / Tel.: (11) 2679-4162 / MORUMBI SHOPPING: Av. Roque Petroni Júnior, 1089 - Tel.: (11) 5181-2929 / SHOPPING ELDORADO: Av. Rebouças, 3970 - 3º piso - Tel.: (11) 2197-6066 / IGUATEMI ALPHAVILLE: Alameda Rio Negro, 111 - Tel.: (11) 4193-4295www.piraja.com.br"," "
"SubAstor","Rua Delfina, 163, 05443-010 Vila Madalena, São Paulo SP, (11) 3815-1364www.subastor.com.br","Para viver um segredo, às vezes é necessário descer um lance de escadas. Escondido atrás de cortinas de veludo, você encontra o bar abaixo do bar. O ambiente é dominado por uma áurea de charme e mistério."
"Bar Obelisco","Av. Pedro Álvares Cabral, 1301 - 8 andar dentro do MAC-USP, 04094-050 Parque Ibirapuera, São Paulo - SP, (11) 2658-3188www.vistasaopaulo.com.br","Bar Obelisco fica anexo ao premiado restaurante Vista (melhor brasileira Veja Comer & Beber 2018), em pleno parque do Ibirapuera, na cobertura do MAC USP. Aberto de terça a sábado (a partir das 18h), possui uma programação musical variada com shows de música brasileira, jazz e clássicos, além de festas e DJs que trazem a sonoridade das décadas de 70, 80, 90 e 00, mixadas a disco, grooves e house. A coquetelaria é do Zulu e Jairo Gama, e a gastronomia do chef Marcelo Corrêa Bastos."
"Bardassê","R. Dr. Renato Paes de Barros, 994, 04530-001 Itaim Bibi, São Paulo - SP, (11) 3044-1307www.bardasse.negocio.site","Com mais de cem rótulos na casa, chopes artesanais e pratos também feitos a partir da bebida, o Bardassê ficou conhecido como a Casa da Cerveja. O cardápio harmonizado foi elaborado pelo chef boliviano Checho Gonzales e as comidas do café da manhã, almoço e happy hour, também possuem harmonização de cervejas e drinks (assinados pelo premiado Kennedy Nascimento)."
"Benzina Bar","R. Girassol, 396, 03178-200 Sumarezinho, São Paulo - SP, (11) 3031-2008www.benzina.bar","No Benzina, a ordem é beber bem e gastar pouco. Descontraído, o bar do Grupo Bullguer é sucesso de público desde a inauguração. A casa, comandada por Gabriel Santana, jovem e talentoso barman, apresenta drinques autorais e releituras inéditas de clássicos da coquetelaria e foi premiada como melhor bar 'Bom e Barato' pela Veja SP em 2018."
"Café Society","R. Amauri, 334, 01406-200 Itaim Bibi, São Paulo - SP, (11) 3071-4591www.cafesocietysp.com.br","Um autêntico night club: no palco, as melhores atrações do jazz ao soul music. E nas mesas e no bar, opções dos appetizers ao jantar completo e coquetéis autorais. Tudo em um cenário sofisticado e com conforto. Uma noite única na cidade!"
"Cava Bar","R. Guarará, 565, subsolo, 01425-001 Jardim Paulista, São Paulo - SPwww.cavabar.com.br","Um bar no subsolo de uma casa dos anos 1930. Um balcão de concreto. Coquetéis clássicos e contemporâneos, vinhos, saquês e cervejas. Cardápio com alimentos frescos e orgânicos. Traga seus motivos."
"Cazu Gastrobar","Rua Harmonia, 321, 05441-030 Vila Madalena, São Paulo – SP, (11) 2539-3840www.cazugastrobar.com.br","O Cazu Gastrobar une a boêmia do bar a uma gastronomia autoral e cosmopolita, surpreendendo a todos com receitas criativas, que harmonizam bem com cervejas artesanais selecionadas, drinks inovadores e um ambiente aconchegante."
"Drosophyla","R. Nestor Pestana, 163, 01303-010 Consolação, São Paulo SP, (11) 3120-5535www.drosophyla.com.br","Como disse Ronaldo Fraga, 'o Drosophyla é mais que bar, o conceito Drosophyla costura com muito humor o universo gráfico, o universo musical e o universo gastronômico. Em um mundo onde tudo tem gosto de plástico e o previsível é o prato de todos os dias, o Drosophyla é uma ilha de respiro e estímulo à criatividade individual!' "
"Guilhotina Bar","R. Costa Carvalho, 84, 05429-000 Pinheiros, São Paulo - SP, (11) 3031-0955www.guilhotinabar.com.br","Márcio Silva, premiado bartender e um dos sócios do Guilhotina Bar, viaja pelo mundo mostrando suas criações e, quando está em SP, é possível encontrá-lo no balcão 'arrepiando' nos drinques, ou pelas mesas, trocando uma ideia com a clientela. O Guilhotina é um bar de coquetelaria despretensiosa. Um lugar com uma pegada descontraída, que proporciona experiência e diversão, em uma atmosfera amigável e ambiente que estimula a interação entre os convidados e os bartenders."
"IPo Bar","Rua Mota Pais, 32, 05054-020 Lapa, São Paulo - SP, (11) 3853.6178www.ipobar.com.br","O IPo nasceu do sonho e da inconformação de 5 sócios. Cinco caras que colocam todos os dias as mãos e o coração em cada detalhe, a mão na massa, não só porque o ‘olho do dono que engorda o gado’ mas sim pela paixão de fazer o que se ama. "
"Jim Roof Club","Av. Brig. Faria Lima, 2776, 04151-000 Jardim Paulistano, São Paulo SP, (11) 3044-4032www.thesailor.com.br/jim-roof-club","Anexo ao The Sailor Pub, um espaço com terraço mixa o charme de speakeasy e a efervescência de mini clubs. Coquetéis e appetizers autorais, além de shows acústicos e os novos DJs da cena."
"Must Bar","Alameda Santos, 1437, 01419-001 Jardim Paulista, São Paulo - SP, (11) 3146-5832www.tivolihotels.com/pt/tivoli-mofarrej-sao-paulo/restaurants","Com vista para a piscina mais cool da cidade, o Must Bar aposta em menus diferentes para o dia e a noite com craft drinks elaborados por Jessica Sanchez – já eleita a melhor bartender do Brasil pelo Cocktail Journey Diageo. O destaque também fica para as noites de música ao vivo que acontecem durante a semana."
"Negroni","R. Padre Carvalho, 30, 01451-001 Pinheiros, São Paulo - SP, (11) 2337-4855www.negroni.com.br","Sucesso de público desde sua abertura em maio de 2016, o Negroni faz uma imersão do cliente em uma experiência completa e diferenciada com aspectos relacionados ao universo deste coquetel clássico italiano. Trazendo inspiração não só na gastronomia e na coquetelaria, mas também através da arquitetura, da decoração, da música e da paleta de cores usada."
"O Pasquim ","R. Aspicuelta, 524, 05433-011 Alto de Pinheiros, São Paulo SP, (11) 2337-9487www.opasquimbar.com.br","O bar homenageia o extinto jornal O Pasquim e também os botecos mais antigos ao estilo carioca. No cardápio, mais menções ao jornal e suas ilustrações. Um bar que ao mesmo tempo prestigia os questionadores dos anos 70 e abre espaço para os livres pensadores de hoje, celebrando a amizade, as mudanças e a boa prosa ao redor da mesa. E sobre a mesa, só petiscos e drinks excelentes!"
"Raiz Bar","R. Alves Guimarães, 153, 05410-000 Pinheiros, São Paulo - SP, (11) 3083-3003, (11) 3083-3014www.jacarandabr.com.br/raizbar","Debaixo da grande e centenária árvore Jacarandá, existe um universo paralelo escondido. Descendo as escadas ao lado da adega do restaurante Jacarandá, abrem-se as portas do Raiz, o speakeasy do grupo Antonietta comandado pelo restaurateur Milton Freitas. O bar é um espaço de apreciação musical recheado também de boa gastronomia e coquetéis que impressionam, feitos pelo premiado bartender Laércio Zulu."
"São Paulo Tap House","R. Girassol, 340, 05433-000 Vila Madalena, São Paulo SP, (11) 3530-6602www.spth.com.br","Para quem gosta de números superlativos, eis o lugar certo. Atrás do balcão, enfileiram-se quarenta torneiras de chopes nacionais."
"Caixa Belas Artes","R. da Consolação, 2423, 01301-100 Consolação, São Paulo SP, (11) 2894-5781www.caixabelasartes.com.br ","Um dos cinemas mais tradicionais da cidade, foi reaberto sob o nome CAIXA BELAS ARTES mantendo o estilo da programação de grandes filmes, fora do circuitão. Além disso um ambiente descolado com dois cafés onde as pessoas podem beber e comer algo antes ou depois do filme, encontrar amigos e fazer novos."
"Cinesala","Rua Fradique Coutinho, 361, 05416-010 Pinheiros, São Paulo SP, (11) 5096-0585www.cinesala.com.br","A Cinesala é uma empresa que nasceu com o objetivo de desenvolver cinemas especiais e que tem como sócios Adhemar Oliveira, Paulo Velasco, Raí e Rodrigo Makray. Sempre com uma programação inteligente, a sala oferece duas opções de acomodação: poltronas ou sofás, esses últimos, considerados o charme do Cinesala!"
"Amanary Spa","Av. das Nações Unidas, 13301, 04795-100 Itaim Bibi, São Paulo - SP, (11) 2838-3300www.hyatt.com/corporate/spas/Amanary-Spa/pt/home.html","Considerado um oásis em meio à agitação de São Paulo, o Amanary é o spa urbano do Grand Hyatt São Paulo e foi criado com uma proposta de oferecer aos visitantes uma opção diferenciada para relaxamento e bem-estar do corpo e da mente. Com sete salas privativas de tratamento, piscina aquecida e sauna seca, o Amanary é resultado do casamento entre natureza e tecnologia, e conta com a tradição da Hyatt."
"The Spa Renaissance","Alameda Santos, 2233, 01419-002 Jardins, São Paulo SP, (11) 3069-2233br.thespaatrenaissancesp.com","Um novo conceito: um SPA em São Paulo que aproxima a natureza da agitada vida urbana. Elementos orgânicos da flora brasileira promovem momentos de tranquilidade e relaxamento, antes, durante e depois dos rituais. Uma experiência completa que envolve saúde e bem estar. Desperte sensações e faça novas descobertas em uma jornada direcionada por nossos terapeutas. Relaxe mente e corpo no The Spa at Renaissance, o refúgio ideal na cidade de São Paulo."
"Ibira Walking Tour / Bem São Paulo ","Ponto de Encontro: Museu de Arte Contemporânea, Av. Pedro Alvares Cabral, 1301 - Parque do Ibirapuera, 04094-050 Ibirapuera, São Paulo - SP, (11) 3803-9707www.ibirawalkingtour.com.br","O Ibira Walking Tour é o primeiro e único passeio a pé do Parque do Ibirapuera. Você e um acompanhante por apenas R$ 29,90! Operado pela agência de experiências Bem São Paulo e criado com o apoio da São Paulo Turismo, esta experiência revela curiosidades, história, arte, culture surpresas do Parque do Ibirapuera. Conheça detalhes desta experiência imperdível no site do Ibira Walking Tour."
"Lush Motel","Av. do Estado, 6600,  Cambuci, São Paulo SP, (11) 2271-0020www.lushmotel.com.br","No Lush cada suíte é única, na decoração, nas cores e em alguns diferenciais do projeto. Há uma preocupação com os detalhes, a acomodação, o cardápio e o serviço premium de hotelaria. Cardápio gourmet, carta de vinhos e drinks especiais fazem do Lush uma experiência completa e única. Novas suítes (Lush Splash Arte) foram inauguradas, assinadas pela arquiteta Fabiola Fera em parceria com a fotógrafa Raquel Brust."
"World Wine","JARDINS: Rua Padre João Manuel, 1269 - Telefone: (11) 3085-3055 / ITAIM BIBI: Rua Amauri, 255 - Telefone: (11) 3168-1255 / Shopping Cidade Jardim, Terceiro Piso - Telefone: (11) 3198-9515 / 9518 / VN Conceição: R. Jaques Félix, 626 - Telefone: (11) 3791-9025www.worldwine.com.br"," "
